event_id,customer_id,event_time,event_type,amount,currency,payment_method,failure_reason,attempt_count,successful_payments,failed_payments,customer_age_days,customer_lifetime_value,days_since_last_payment,checkout_duration_seconds,prior_recovery_rate,intervention,recovered,recovered_amount
EVT-002300,CUS-100357,2026-01-01T00:42:00+00:00,payment.failed,3744.15,INR,card,transient_failure,2,0,1,1072,82939.41,89.73,74.1,0.0,WAIT,1,3744.15
EVT-007883,CUS-100052,2026-01-01T00:45:00+00:00,checkout.abandoned,1177.61,INR,wallet,customer_abandonment,1,3,3,1326,47601.74,65.51,238.2,0.237,PAYMENT_LINK,1,1177.61
EVT-010160,CUS-101174,2026-01-01T01:43:00+00:00,subscription.failed,6351.98,INR,wallet,expired_method,1,3,2,162,221612.29,31.0,145.6,0.299,PAYMENT_LINK,1,6351.98
EVT-007308,CUS-100349,2026-01-01T01:47:00+00:00,payment.failed,3919.27,INR,wallet,expired_method,3,4,2,597,219028.46,14.99,683.2,0.078,WAIT,0,0
EVT-001326,CUS-100112,2026-01-01T01:51:00+00:00,checkout.abandoned,17241.54,INR,wallet,customer_abandonment,0,1,5,461,177653.04,90.16,278.8,0.741,ALTERNATIVE_METHOD,0,0
EVT-009355,CUS-102733,2026-01-01T02:18:00+00:00,checkout.abandoned,1881.48,INR,wallet,customer_abandonment,0,1,5,618,131193.83,85.52,890.0,0.321,RETRY,0,0
EVT-006782,CUS-102771,2026-01-01T02:46:00+00:00,payment.degraded,5143.19,INR,netbanking,systemic_degradation,2,3,2,1003,174495.9,62.97,657.4,0.883,ALTERNATIVE_METHOD,0,0
EVT-003970,CUS-100610,2026-01-01T03:42:00+00:00,subscription.failed,3461.83,INR,upi,transient_failure,2,2,4,539,248780.02,91.8,763.2,0.339,ALTERNATIVE_METHOD,0,0
EVT-011649,CUS-100841,2026-01-01T03:49:00+00:00,payment.failed,8506.23,INR,card,network_error,0,2,4,1328,85162.1,9.39,342.5,0.111,WAIT,1,8506.23
EVT-006199,CUS-100967,2026-01-01T04:14:00+00:00,checkout.abandoned,2480.68,INR,upi,customer_abandonment,1,2,1,576,211826.35,52.68,799.0,0.825,RETRY,1,2480.68
